zcta_code,hospital beds,hospital cost per day,nurse beds,nurse cost per day,home cost per visit,Summary star rating,Overall Rating,num_doctors,doctor_rating,home_rating,hospital beds_weighted,nurse beds_weighted,num_doctors_weighted,hospital cost per day_weighted,nurse cost per day_weighted,home cost per visit_weighted,Summary star rating_weighted,Overall Rating_weighted,doctor_rating_weighted,home_rating_weighted,origin_health_score,quantity_score,expenses_score,quality_score,baseline_score,combined_health_score
60304,18.23457168,19.97917656,12.85842514,9.683312791,4.450219865,31.21865597,13.09740847,19.31238049,14.64791694,0,1.658642999,1.030766357,2.485256562,1.859125436,0.765429675,0.499923442,2.413124955,0.890312598,1.335153903,0,12.93773593,5.174665918,3.124478553,4.638591457,20,32.93773593
60305,4.248450618,4.257802455,2.491898678,2.396131338,1.145317066,16.62487462,5.487131372,4.710676295,5.080994263,0,0.386445209,0.19975738,0.606203838,0.396201957,0.189405224,0.12866125,1.285061723,0.372994566,0.463131335,0,4.027862483,1.192406428,0.714268431,2.121187624,20,24.02786248
60402,0.411774363,0.400413033,0.485366962,0.606422003,0.162698901,2.03109328,0.586125397,0.421408283,0.583052035,0,0.037455591,0.038908337,0.054229861,0.037259697,0.047935392,0.018277073,0.156998491,0.039842601,0.053145045,0,0.484052088,0.130593789,0.103472162,0.249986137,20,20.48405209
60406,14.57414465,10.98639582,28.53565136,31.59335465,25.1288493,31.39418255,42.38393293,4.119095798,24.3760174,0,1.325685264,2.287495481,0.530074988,1.022318806,2.497336574,2.822894421,2.426692727,2.881100453,2.221867787,0,18.0154665,4.143255734,6.342549801,7.529660966,20,38.0154665
60409,1.576534623,2.189867495,9.269147537,9.097084069,11.50311246,2.858575727,9.87683647,0.459929085,8.788138954,0,0.143403868,0.743040095,0.059186995,0.203774082,0.719090486,1.292222799,0.220960839,0.671390219,0.801036631,0,4.854106016,0.945630959,2.215087368,1.693387689,20,24.85410602
60411,0.07766647,0.166665547,0.243791625,0.38038917,0.958011278,0.300902708,0.448947112,0.034343847,0.488079977,0,0.007064654,0.019543,0.004419614,0.015508755,0.030068342,0.107619918,0.023259036,0.030517737,0.044488366,0,0.282489422,0.031027269,0.153197015,0.098265139,20,20.28248942
60415,0.587865719,0.353777448,1.245342498,1.266029492,1.02220296,1.203610832,1.795788449,0.161199498,0.940859254,0,0.053473116,0.099830044,0.020744315,0.032920108,0.100074898,0.114831005,0.093036143,0.122070949,0.085759082,0,0.722739661,0.174047475,0.247826012,0.300866174,20,20.72273966
60418,0,0,0.199782487,0.290502138,0.074222072,0.451354062,0.261885815,0.008818015,0.119649609,0,0,0.016015108,0.001134766,0,0.022963108,0.00833787,0.034888554,0.017802013,0.010906031,0,0.11204745,0.017149874,0.031300978,0.063596598,20,20.11204745
60419,0.153438636,0.184630946,0.872372974,0.71293982,0.569175379,0.200601805,0.7981282,0.033106231,0.734678744,0,0.013957,0.069931792,0.004260349,0.017180492,0.056355227,0.063939339,0.015506024,0.054253755,0.066965781,0,0.362349759,0.088149141,0.137475058,0.13672556,20,20.36234976
60422,1.438408279,2.218889324,7.869087064,8.182928761,12.54308122,3.209628886,8.962314577,0.484836109,8.49716928,0,0.130839696,0.630807437,0.062392211,0.206474655,0.646829927,1.409049558,0.248096381,0.609224458,0.774514819,0,4.718229143,0.824039345,2.26235414,1.631835658,20,24.71822914
60423,1.208566044,1.224096324,2.911357471,4.177177699,8.915359567,3.610832497,4.123662365,0.508350815,5.731560512,0,0.109932914,0.233382339,0.065418253,0.113906026,0.330190281,1.00152293,0.279108429,0.280311068,0.522430283,0,2.936202524,0.408733507,1.445619237,1.081849779,20,22.93620252
60425,0.770981786,1.220555027,4.418010819,4.899110987,7.638221685,1.805416249,5.275128569,0.271037927,4.743806703,0,0.070129618,0.354159772,0.034879117,0.113576498,0.387256408,0.858053352,0.139554214,0.358583413,0.432396774,0,2.748589167,0.459168507,1.358886258,0.930534401,20,22.74858917
60426,0.076719318,0.092315473,0.351017725,0.265168716,0.182914658,0.100300903,0.349181087,0.014851393,0.320100383,0,0.0069785,0.028138536,0.001911185,0.008590246,0.020960596,0.020548047,0.007753012,0.023736018,0.029177069,0,0.147793208,0.037028221,0.050098889,0.060666098,20,20.14779321
60428,0.34523693,0.415419629,2.055448347,1.81426564,1.824238946,0.451354062,2.057674265,0.085859617,1.823087532,0,0.03140325,0.164770334,0.011049035,0.038656108,0.143410916,0.204929159,0.034888554,0.139872962,0.166173965,0,0.935154283,0.20722262,0.386996182,0.340935481,20,20.93515428
60429,0.153438636,0.184630946,1.019281173,0.94434171,0.947180858,0.200601805,0.997660249,0.040841331,0.846027788,0,0.013957,0.081708353,0.005255757,0.017180492,0.074646682,0.106403263,0.015506024,0.067817194,0.077115218,0,0.459589983,0.100921111,0.198230437,0.160438435,20,20.45958998
60430,0.410432564,0.591482622,2.556329321,2.667014489,3.626227179,0.802407222,2.818390205,0.133971943,2.481396579,0,0.037333539,0.204922316,0.017240477,0.055039325,0.210817525,0.407358743,0.062024095,0.191583573,0.226178667,0,1.41249826,0.259496333,0.673215593,0.479786335,20,21.41249826
60438,0.07766647,0.166665547,0.339725212,0.518200083,1.240869638,0.300902708,0.56118389,0.035736165,0.533631859,0,0.007064654,0.027233298,0.004598788,0.015508755,0.040961779,0.13939532,0.023259036,0.038147172,0.048640408,0,0.344809209,0.03889674,0.195865854,0.110046615,20,20.34480921
